Year,Month,Day,location,WindSpeed9am,Humidity9am,State
2008,12,1,Ballarat North,26,71,VIC
2008,12,2,Ballarat North,20,66,VIC
2008,12,3,Ballarat North,22,82,VIC
2008,12,4,Ballarat North,9,60,VIC
2008,12,5,Ballarat North,30,74,VIC
2008,12,6,Ballarat North,15,76,VIC
2008,12,7,Ballarat North,20,71,VIC
2008,12,8,Ballarat North,17,64,VIC
2008,12,9,Ballarat North,9,55,VIC
2008,12,10,Ballarat North,28,71,VIC
2008,12,11,Ballarat North,28,67,VIC
2008,12,12,Ballarat North,24,47,VIC
2008,12,13,Ballarat North,26,99,VIC
2008,12,14,Ballarat North,19,99,VIC
2008,12,15,Ballarat North,17,72,VIC
2008,12,16,Ballarat North,15,84,VIC
2008,12,17,Ballarat North,7,91,VIC
2008,12,18,Ballarat North,15,86,VIC
2008,12,19,Ballarat North,26,69,VIC
2008,12,20,Ballarat North,22,76,VIC
2008,12,21,Ballarat North,20,44,VIC
2008,12,22,Ballarat North,44,39,VIC
2008,12,23,Ballarat North,26,90,VIC
2008,12,24,Ballarat North,15,68,VIC
2008,12,25,Ballarat North,13,61,VIC
2008,12,26,Ballarat North,22,42,VIC
2008,12,27,Ballarat North,13,55,VIC
2008,12,28,Ballarat North,17,62,VIC
2008,12,29,Ballarat North,17,70,VIC
2008,12,30,Ballarat North,22,99,VIC
2008,12,31,Ballarat North,15,81,VIC
2009,1,1,Ballarat North,26,87,VIC
2009,1,2,Ballarat North,26,70,VIC
2009,1,3,Ballarat North,20,61,VIC
2009,1,4,Ballarat North,NA,24,VIC
2009,1,5,Ballarat North,6,42,VIC
2009,1,6,Ballarat North,9,48,VIC
2009,1,7,Ballarat North,15,99,VIC
2009,1,8,Ballarat North,26,71,VIC
2009,1,9,Ballarat North,24,57,VIC
2009,1,10,Ballarat North,13,61,VIC
2009,1,11,Ballarat North,15,70,VIC
2009,1,12,Ballarat North,20,86,VIC
2009,1,13,Ballarat North,20,20,VIC
2009,1,14,Ballarat North,19,16,VIC
2009,1,15,Ballarat North,28,63,VIC
2009,1,16,Ballarat North,26,66,VIC
2009,1,17,Ballarat North,28,54,VIC
2009,1,18,Ballarat North,20,38,VIC
2009,1,19,Ballarat North,20,20,VIC
2009,1,20,Ballarat North,22,21,VIC
2009,1,21,Ballarat North,7,66,VIC
2009,1,22,Ballarat North,37,28,VIC
2009,1,23,Ballarat North,11,58,VIC
2009,1,24,Ballarat North,28,77,VIC
2009,1,25,Ballarat North,9,49,VIC
2009,1,26,Ballarat North,30,70,VIC
2009,1,27,Ballarat North,11,51,VIC
2009,1,28,Ballarat North,22,17,VIC
2009,1,29,Ballarat North,35,20,VIC
2009,1,30,Ballarat North,20,17,VIC
2009,1,31,Ballarat North,22,34,VIC
2009,2,1,Ballarat North,31,72,VIC
2009,2,2,Ballarat North,11,79,VIC
2009,2,3,Ballarat North,35,80,VIC
2009,2,4,Ballarat North,13,70,VIC
2009,2,5,Ballarat North,2,27,VIC
2009,2,6,Ballarat North,11,57,VIC
2009,2,7,Ballarat North,39,25,VIC
2009,2,8,Ballarat North,20,73,VIC
2009,2,9,Ballarat North,31,58,VIC
2009,2,10,Ballarat North,30,66,VIC
2009,2,11,Ballarat North,28,73,VIC
2009,2,12,Ballarat North,31,72,VIC
2009,2,13,Ballarat North,20,54,VIC
2009,2,14,Ballarat North,22,46,VIC
2009,2,15,Ballarat North,24,75,VIC
2009,2,16,Ballarat North,17,70,VIC
2009,2,17,Ballarat North,30,43,VIC
2009,2,18,Ballarat North,13,42,VIC
2009,2,19,Ballarat North,4,24,VIC
2009,2,20,Ballarat North,17,76,VIC
2009,2,21,Ballarat North,26,82,VIC
2009,2,22,Ballarat North,28,71,VIC
2009,2,23,Ballarat North,19,53,VIC
2009,2,24,Ballarat North,24,67,VIC
2009,2,25,Ballarat North,24,78,VIC
2009,2,26,Ballarat North,24,71,VIC
2009,2,27,Ballarat North,31,36,VIC
2009,2,28,Ballarat North,33,70,VIC
2009,3,1,Ballarat North,28,83,VIC
2009,3,2,Ballarat North,31,66,VIC
2009,3,3,Ballarat North,41,55,VIC
2009,3,4,Ballarat North,26,74,VIC
2009,3,5,Ballarat North,17,99,VIC
2009,3,6,Ballarat North,15,85,VIC
2009,3,7,Ballarat North,17,79,VIC
2009,3,8,Ballarat North,31,71,VIC
2009,3,9,Ballarat North,24,75,VIC
2009,3,10,Ballarat North,26,88,VIC
2009,3,11,Ballarat North,11,88,VIC
2009,3,12,Ballarat North,17,100,VIC
2009,3,13,Ballarat North,11,100,VIC
2009,3,14,Ballarat North,33,97,VIC
2009,3,15,Ballarat North,26,87,VIC
2009,3,16,Ballarat North,24,99,VIC
2009,3,17,Ballarat North,22,98,VIC
2009,3,18,Ballarat North,7,80,VIC
2009,3,19,Ballarat North,17,37,VIC
2009,3,20,Ballarat North,NA,73,VIC
2009,3,21,Ballarat North,22,30,VIC
2009,3,22,Ballarat North,15,91,VIC
2009,3,23,Ballarat North,19,92,VIC
2009,3,24,Ballarat North,13,78,VIC
2009,3,25,Ballarat North,6,100,VIC
2009,3,26,Ballarat North,0,92,VIC
2009,3,27,Ballarat North,13,92,VIC
2009,3,28,Ballarat North,4,99,VIC
2009,3,29,Ballarat North,6,58,VIC
2009,3,30,Ballarat North,33,81,VIC
2009,3,31,Ballarat North,22,64,VIC
2009,4,1,Ballarat North,19,53,VIC
2009,4,2,Ballarat North,20,60,VIC
2009,4,3,Ballarat North,20,77,VIC
2009,4,4,Ballarat North,9,95,VIC
2009,4,5,Ballarat North,20,81,VIC
2009,4,6,Ballarat North,19,81,VIC
2009,4,7,Ballarat North,22,93,VIC
2009,4,8,Ballarat North,20,90,VIC
2009,4,9,Ballarat North,0,77,VIC
2009,4,10,Ballarat North,7,79,VIC
2009,4,11,Ballarat North,15,89,VIC
2009,4,12,Ballarat North,6,80,VIC
2009,4,13,Ballarat North,11,52,VIC
2009,4,14,Ballarat North,26,48,VIC
2009,4,15,Ballarat North,41,74,VIC
2009,4,16,Ballarat North,28,75,VIC
2009,4,17,Ballarat North,9,87,VIC
2009,4,18,Ballarat North,9,93,VIC
2009,4,19,Ballarat North,28,81,VIC
2009,4,20,Ballarat North,11,80,VIC
2009,4,21,Ballarat North,22,55,VIC
2009,4,22,Ballarat North,13,57,VIC
2009,4,23,Ballarat North,35,62,VIC
2009,4,24,Ballarat North,37,99,VIC
2009,4,25,Ballarat North,24,100,VIC
2009,4,26,Ballarat North,35,77,VIC
2009,4,27,Ballarat North,20,99,VIC
2009,4,28,Ballarat North,11,92,VIC
2009,4,29,Ballarat North,7,93,VIC
2009,4,30,Ballarat North,NNW,19,VIC
2009,5,1,Ballarat North,22,69,VIC
2009,5,2,Ballarat North,0,99,VIC
2009,5,3,Ballarat North,0,100,VIC
2009,5,4,Ballarat North,13,97,VIC
2009,5,5,Ballarat North,7,78,VIC
2009,5,6,Ballarat North,19,82,VIC
2009,5,7,Ballarat North,13,100,VIC
2009,5,8,Ballarat North,20,100,VIC
2009,5,9,Ballarat North,22,99,VIC
2009,5,10,Ballarat North,26,77,VIC
2009,5,11,Ballarat North,0,96,VIC
2009,5,12,Ballarat North,9,70,VIC
2009,5,13,Ballarat North,13,92,VIC
2009,5,14,Ballarat North,19,92,VIC
2009,5,15,Ballarat North,26,97,VIC
2009,5,16,Ballarat North,24,88,VIC
2009,5,17,Ballarat North,15,99,VIC
2009,5,18,Ballarat North,17,91,VIC
2009,5,19,Ballarat North,26,67,VIC
2009,5,20,Ballarat North,17,72,VIC
2009,5,21,Ballarat North,11,76,VIC
2009,5,22,Ballarat North,11,75,VIC
2009,5,23,Ballarat North,30,60,VIC
2009,5,24,Ballarat North,33,68,VIC
2009,5,25,Ballarat North,31,70,VIC
2009,5,26,Ballarat North,4,86,VIC
2009,5,27,Ballarat North,7,69,VIC
2009,5,28,Ballarat North,17,93,VIC
2009,5,29,Ballarat North,13,89,VIC
2009,5,30,Ballarat North,22,98,VIC
2009,5,31,Ballarat North,9,79,VIC
2009,6,1,Ballarat North,22,80,VIC
2009,6,2,Ballarat North,11,90,VIC
2009,6,3,Ballarat North,17,94,VIC
2009,6,4,Ballarat North,17,66,VIC
2009,6,5,Ballarat North,0,80,VIC
2009,6,6,Ballarat North,11,91,VIC
2009,6,7,Ballarat North,11,100,VIC
2009,6,8,Ballarat North,17,99,VIC
2009,6,9,Ballarat North,20,99,VIC
2009,6,10,Ballarat North,15,85,VIC
2009,6,11,Ballarat North,W,11,VIC
2009,6,12,Ballarat North,31,89,VIC
2009,6,13,Ballarat North,31,82,VIC
2009,6,14,Ballarat North,17,82,VIC
2009,6,15,Ballarat North,13,94,VIC
2009,6,16,Ballarat North,20,100,VIC
2009,6,17,Ballarat North,NNW,7,VIC
2009,6,18,Ballarat North,N,15,VIC
2009,6,19,Ballarat North,NNE,24,VIC
2009,6,20,Ballarat North,31,77,VIC
2009,6,21,Ballarat North,6,100,VIC
2009,6,22,Ballarat North,24,100,VIC
2009,6,23,Ballarat North,26,81,VIC
2009,6,24,Ballarat North,15,100,VIC
2009,6,25,Ballarat North,9,100,VIC
2009,6,26,Ballarat North,15,49,VIC
2009,6,27,Ballarat North,0,98,VIC
2009,6,28,Ballarat North,N,30,VIC
2009,6,29,Ballarat North,22,99,VIC
2009,6,30,Ballarat North,37,83,VIC
2009,7,1,Ballarat North,30,91,VIC
2009,7,2,Ballarat North,24,95,VIC
2009,7,3,Ballarat North,17,98,VIC
2009,7,4,Ballarat North,19,97,VIC
2009,7,5,Ballarat North,17,79,VIC
2009,7,6,Ballarat North,13,98,VIC
2009,7,7,Ballarat North,E,7,VIC
2009,7,8,Ballarat North,N,26,VIC
2009,7,9,Ballarat North,24,74,VIC
2009,7,10,Ballarat North,28,77,VIC
2009,7,11,Ballarat North,50,82,VIC
2009,7,12,Ballarat North,24,98,VIC
2009,7,13,Ballarat North,17,98,VIC
2009,7,14,Ballarat North,17,99,VIC
2009,7,15,Ballarat North,11,98,VIC
2009,7,16,Ballarat North,S,15,VIC
2009,7,17,Ballarat North,NNE,17,VIC
2009,7,18,Ballarat North,20,94,VIC
2009,7,19,Ballarat North,24,98,VIC
2009,7,20,Ballarat North,35,75,VIC
2009,7,21,Ballarat North,26,51,VIC
2009,7,22,Ballarat North,19,90,VIC
2009,7,23,Ballarat North,13,98,VIC
2009,7,24,Ballarat North,NNW,28,VIC
2009,7,25,Ballarat North,30,65,VIC
2009,7,26,Ballarat North,24,67,VIC
2009,7,27,Ballarat North,17,98,VIC
2009,7,28,Ballarat North,15,98,VIC
2009,7,29,Ballarat North,13,99,VIC
2009,7,30,Ballarat North,17,99,VIC
2009,7,31,Ballarat North,19,99,VIC
2009,8,1,Ballarat North,20,98,VIC
2009,8,2,Ballarat North,28,98,VIC
2009,8,3,Ballarat North,4,80,VIC
2009,8,4,Ballarat North,24,80,VIC
2009,8,5,Ballarat North,19,98,VIC
2009,8,6,Ballarat North,35,74,VIC
2009,8,7,Ballarat North,30,84,VIC
2009,8,8,Ballarat North,N,28,VIC
2009,8,9,Ballarat North,22,61,VIC
2009,8,10,Ballarat North,22,86,VIC
2009,8,11,Ballarat North,26,77,VIC
2009,8,12,Ballarat North,0,99,VIC
2009,8,13,Ballarat North,7,92,VIC
2009,8,14,Ballarat North,NA,99,VIC
2009,8,15,Ballarat North,31,80,VIC
2009,8,16,Ballarat North,46,72,VIC
2009,8,17,Ballarat North,26,75,VIC
2009,8,18,Ballarat North,13,99,VIC
2009,8,19,Ballarat North,26,73,VIC
2009,8,20,Ballarat North,20,81,VIC
2009,8,21,Ballarat North,33,76,VIC
2009,8,22,Ballarat North,N,41,VIC
2009,8,23,Ballarat North,35,99,VIC
2009,8,24,Ballarat North,26,84,VIC
2009,8,25,Ballarat North,28,87,VIC
2009,8,26,Ballarat North,31,88,VIC
2009,8,27,Ballarat North,37,91,VIC
2009,8,28,Ballarat North,20,99,VIC
2009,8,29,Ballarat North,33,99,VIC
2009,8,30,Ballarat North,24,79,VIC
2009,8,31,Ballarat North,26,93,VIC
2009,9,1,Ballarat North,20,73,VIC
2009,9,2,Ballarat North,35,70,VIC
2009,9,3,Ballarat North,31,67,VIC
2009,9,4,Ballarat North,28,99,VIC
2009,9,5,Ballarat North,24,99,VIC
2009,9,6,Ballarat North,30,69,VIC
2009,9,7,Ballarat North,22,88,VIC
2009,9,8,Ballarat North,22,96,VIC
2009,9,9,Ballarat North,19,82,VIC
2009,9,10,Ballarat North,13,72,VIC
2009,9,11,Ballarat North,39,66,VIC
2009,9,12,Ballarat North,22,63,VIC
2009,9,13,Ballarat North,7,82,VIC
2009,9,14,Ballarat North,W,9,VIC
2009,9,15,Ballarat North,NNW,22,VIC
