Day,Month,Year,Humidity9am,State,Suburb,location
1,12,2008,71,VIC,Ballarat,Ballarat North
2,12,2008,66,VIC,Ballarat,Ballarat North
3,12,2008,82,VIC,Ballarat,Ballarat North
4,12,2008,60,VIC,Ballarat,Ballarat North
5,12,2008,74,VIC,Ballarat,Ballarat North
6,12,2008,76,VIC,Ballarat,Ballarat North
7,12,2008,71,VIC,Ballarat,Ballarat North
8,12,2008,64,VIC,Ballarat,Ballarat North
9,12,2008,55,VIC,Ballarat,Ballarat North
10,12,2008,71,VIC,Ballarat,Ballarat North
11,12,2008,67,VIC,Ballarat,Ballarat North
12,12,2008,47,VIC,Ballarat,Ballarat North
13,12,2008,99,VIC,Ballarat,Ballarat North
14,12,2008,99,VIC,Ballarat,Ballarat North
15,12,2008,72,VIC,Ballarat,Ballarat North
16,12,2008,84,VIC,Ballarat,Ballarat North
17,12,2008,91,VIC,Ballarat,Ballarat North
18,12,2008,86,VIC,Ballarat,Ballarat North
19,12,2008,69,VIC,Ballarat,Ballarat North
20,12,2008,76,VIC,Ballarat,Ballarat North
21,12,2008,44,VIC,Ballarat,Ballarat North
22,12,2008,39,VIC,Ballarat,Ballarat North
23,12,2008,90,VIC,Ballarat,Ballarat North
24,12,2008,68,VIC,Ballarat,Ballarat North
25,12,2008,61,VIC,Ballarat,Ballarat North
26,12,2008,42,VIC,Ballarat,Ballarat North
27,12,2008,55,VIC,Ballarat,Ballarat North
28,12,2008,62,VIC,Ballarat,Ballarat North
29,12,2008,70,VIC,Ballarat,Ballarat North
30,12,2008,99,VIC,Ballarat,Ballarat North
31,12,2008,81,VIC,Ballarat,Ballarat North
1,1,2009,87,VIC,Ballarat,Ballarat North
2,1,2009,70,VIC,Ballarat,Ballarat North
3,1,2009,61,VIC,Ballarat,Ballarat North
4,1,2009,24,VIC,Ballarat,Ballarat North
5,1,2009,42,VIC,Ballarat,Ballarat North
6,1,2009,48,VIC,Ballarat,Ballarat North
7,1,2009,99,VIC,Ballarat,Ballarat North
8,1,2009,71,VIC,Ballarat,Ballarat North
9,1,2009,57,VIC,Ballarat,Ballarat North
10,1,2009,61,VIC,Ballarat,Ballarat North
11,1,2009,70,VIC,Ballarat,Ballarat North
12,1,2009,86,VIC,Ballarat,Ballarat North
13,1,2009,20,VIC,Ballarat,Ballarat North
14,1,2009,16,VIC,Ballarat,Ballarat North
