Day,Month,Year,Humidity,State,Suburb,location,Windspeed,Date Time
1,12,2008,71.0,VIC,Ballarat,Ballarat North,26,2008-12-01
2,12,2008,66.0,VIC,Ballarat,Ballarat North,20,2008-12-02
3,12,2008,82.0,VIC,Ballarat,Ballarat North,22,2008-12-03
4,12,2008,60.0,VIC,Ballarat,Ballarat North,9,2008-12-04
5,12,2008,74.0,VIC,Ballarat,Ballarat North,30,2008-12-05
6,12,2008,76.0,VIC,Ballarat,Ballarat North,15,2008-12-06
7,12,2008,71.0,VIC,Ballarat,Ballarat North,20,2008-12-07
8,12,2008,64.0,VIC,Ballarat,Ballarat North,17,2008-12-08
9,12,2008,55.0,VIC,Ballarat,Ballarat North,9,2008-12-09
10,12,2008,71.0,VIC,Ballarat,Ballarat North,28,2008-12-10
11,12,2008,67.0,VIC,Ballarat,Ballarat North,28,2008-12-11
12,12,2008,47.0,VIC,Ballarat,Ballarat North,24,2008-12-12
13,12,2008,99.0,VIC,Ballarat,Ballarat North,26,2008-12-13
14,12,2008,99.0,VIC,Ballarat,Ballarat North,19,2008-12-14
15,12,2008,72.0,VIC,Ballarat,Ballarat North,17,2008-12-15
16,12,2008,84.0,VIC,Ballarat,Ballarat North,15,2008-12-16
17,12,2008,91.0,VIC,Ballarat,Ballarat North,7,2008-12-17
18,12,2008,86.0,VIC,Ballarat,Ballarat North,15,2008-12-18
19,12,2008,69.0,VIC,Ballarat,Ballarat North,26,2008-12-19
20,12,2008,76.0,VIC,Ballarat,Ballarat North,22,2008-12-20
21,12,2008,44.0,VIC,Ballarat,Ballarat North,20,2008-12-21
22,12,2008,39.0,VIC,Ballarat,Ballarat North,44,2008-12-22
23,12,2008,90.0,VIC,Ballarat,Ballarat North,26,2008-12-23
24,12,2008,68.0,VIC,Ballarat,Ballarat North,15,2008-12-24
25,12,2008,61.0,VIC,Ballarat,Ballarat North,13,2008-12-25
26,12,2008,42.0,VIC,Ballarat,Ballarat North,22,2008-12-26
27,12,2008,55.0,VIC,Ballarat,Ballarat North,13,2008-12-27
28,12,2008,62.0,VIC,Ballarat,Ballarat North,17,2008-12-28
29,12,2008,70.0,VIC,Ballarat,Ballarat North,17,2008-12-29
30,12,2008,99.0,VIC,Ballarat,Ballarat North,22,2008-12-30
31,12,2008,81.0,VIC,Ballarat,Ballarat North,15,2008-12-31
1,1,2009,87.0,VIC,Ballarat,Ballarat North,26,2009-01-01
2,1,2009,70.0,VIC,Ballarat,Ballarat North,26,2009-01-02
3,1,2009,61.0,VIC,Ballarat,Ballarat North,20,2009-01-03
4,1,2009,24.0,VIC,Ballarat,Ballarat North,6,2009-01-04
5,1,2009,42.0,VIC,Ballarat,Ballarat North,6,2009-01-05
6,1,2009,48.0,VIC,Ballarat,Ballarat North,9,2009-01-06
7,1,2009,99.0,VIC,Ballarat,Ballarat North,15,2009-01-07
8,1,2009,71.0,VIC,Ballarat,Ballarat North,26,2009-01-08
9,1,2009,57.0,VIC,Ballarat,Ballarat North,24,2009-01-09
10,1,2009,61.0,VIC,Ballarat,Ballarat North,13,2009-01-10
11,1,2009,70.0,VIC,Ballarat,Ballarat North,15,2009-01-11
12,1,2009,86.0,VIC,Ballarat,Ballarat North,20,2009-01-12
13,1,2009,20.0,VIC,Ballarat,Ballarat North,20,2009-01-13
14,1,2009,16.0,VIC,Ballarat,Ballarat North,19,2009-01-14
15,1,2009,63.0,VIC,Ballarat,Ballarat North,28,2009-01-15
16,1,2009,66.0,VIC,Ballarat,Ballarat North,26,2009-01-16
17,1,2009,54.0,VIC,Ballarat,Ballarat North,28,2009-01-17
18,1,2009,38.0,VIC,Ballarat,Ballarat North,20,2009-01-18
19,1,2009,20.0,VIC,Ballarat,Ballarat North,20,2009-01-19
20,1,2009,21.0,VIC,Ballarat,Ballarat North,22,2009-01-20
21,1,2009,66.0,VIC,Ballarat,Ballarat North,7,2009-01-21
22,1,2009,28.0,VIC,Ballarat,Ballarat North,37,2009-01-22
23,1,2009,58.0,VIC,Ballarat,Ballarat North,11,2009-01-23
24,1,2009,77.0,VIC,Ballarat,Ballarat North,28,2009-01-24
25,1,2009,49.0,VIC,Ballarat,Ballarat North,9,2009-01-25
26,1,2009,70.0,VIC,Ballarat,Ballarat North,30,2009-01-26
27,1,2009,51.0,VIC,Ballarat,Ballarat North,11,2009-01-27
28,1,2009,17.0,VIC,Ballarat,Ballarat North,22,2009-01-28
29,1,2009,20.0,VIC,Ballarat,Ballarat North,35,2009-01-29
30,1,2009,17.0,VIC,Ballarat,Ballarat North,20,2009-01-30
31,1,2009,34.0,VIC,Ballarat,Ballarat North,22,2009-01-31
1,2,2009,72.0,VIC,Ballarat,Ballarat North,31,2009-02-01
2,2,2009,79.0,VIC,Ballarat,Ballarat North,11,2009-02-02
3,2,2009,80.0,VIC,Ballarat,Ballarat North,35,2009-02-03
4,2,2009,70.0,VIC,Ballarat,Ballarat North,13,2009-02-04
5,2,2009,27.0,VIC,Ballarat,Ballarat North,2,2009-02-05
6,2,2009,57.0,VIC,Ballarat,Ballarat North,11,2009-02-06
7,2,2009,25.0,VIC,Ballarat,Ballarat North,39,2009-02-07
8,2,2009,73.0,VIC,Ballarat,Ballarat North,20,2009-02-08
9,2,2009,58.0,VIC,Ballarat,Ballarat North,31,2009-02-09
10,2,2009,66.0,VIC,Ballarat,Ballarat North,30,2009-02-10
11,2,2009,73.0,VIC,Ballarat,Ballarat North,28,2009-02-11
12,2,2009,72.0,VIC,Ballarat,Ballarat North,31,2009-02-12
13,2,2009,54.0,VIC,Ballarat,Ballarat North,20,2009-02-13
14,2,2009,46.0,VIC,Ballarat,Ballarat North,22,2009-02-14
15,2,2009,75.0,VIC,Ballarat,Ballarat North,24,2009-02-15
16,2,2009,70.0,VIC,Ballarat,Ballarat North,17,2009-02-16
17,2,2009,43.0,VIC,Ballarat,Ballarat North,30,2009-02-17
18,2,2009,42.0,VIC,Ballarat,Ballarat North,13,2009-02-18
19,2,2009,24.0,VIC,Ballarat,Ballarat North,4,2009-02-19
20,2,2009,76.0,VIC,Ballarat,Ballarat North,17,2009-02-20
21,2,2009,82.0,VIC,Ballarat,Ballarat North,26,2009-02-21
22,2,2009,71.0,VIC,Ballarat,Ballarat North,28,2009-02-22
23,2,2009,53.0,VIC,Ballarat,Ballarat North,19,2009-02-23
24,2,2009,67.0,VIC,Ballarat,Ballarat North,24,2009-02-24
25,2,2009,78.0,VIC,Ballarat,Ballarat North,24,2009-02-25
26,2,2009,71.0,VIC,Ballarat,Ballarat North,24,2009-02-26
27,2,2009,36.0,VIC,Ballarat,Ballarat North,31,2009-02-27
28,2,2009,70.0,VIC,Ballarat,Ballarat North,33,2009-02-28
1,3,2009,83.0,VIC,Ballarat,Ballarat North,28,2009-03-01
2,3,2009,66.0,VIC,Ballarat,Ballarat North,31,2009-03-02
3,3,2009,55.0,VIC,Ballarat,Ballarat North,41,2009-03-03
4,3,2009,74.0,VIC,Ballarat,Ballarat North,26,2009-03-04
5,3,2009,99.0,VIC,Ballarat,Ballarat North,17,2009-03-05
6,3,2009,85.0,VIC,Ballarat,Ballarat North,15,2009-03-06
7,3,2009,79.0,VIC,Ballarat,Ballarat North,17,2009-03-07
8,3,2009,71.0,VIC,Ballarat,Ballarat North,31,2009-03-08
9,3,2009,75.0,VIC,Ballarat,Ballarat North,24,2009-03-09
10,3,2009,88.0,VIC,Ballarat,Ballarat North,26,2009-03-10
11,3,2009,88.0,VIC,Ballarat,Ballarat North,11,2009-03-11
12,3,2009,100.0,VIC,Ballarat,Ballarat North,17,2009-03-12
